Name,Symbol,Date,Open,High,Low,Close,Volume,Adj Close
CATO,Cyt,2015-09-30,603.280029,608.76001,600.72998,608.419983,2413400,608.419983
CATO,Cyt,2015-09-29,597.280029,605,590.219971,594.969971,2309500,594.969971
CATO,Cyt,2015-09-28,610.340027,614.60498,589.380005,594.890015,3127700,594.890015
CATO,Cyt,2015-09-25,629.77002,629.77002,611,611.969971,2174000,611.969971
CATO,Cyt,2015-09-24,616.640015,627.320007,612.400024,625.799988,2240100,625.799988
DOLE,Cyt,2015-09-23,622.049988,628.929993,620,622.359985,1470900,622.359985
DOLE,Cyt,2015-09-22,627,627.549988,615.429993,622.690002,2562900,622.690002
DOLE,Cyt,2015-09-21,634.400024,636.48999,625.940002,635.440002,1788500,635.440002
DOLE,Cyt,2015-09-18,636.789978,640,627.02002,629.25,5133400,629.25
DOLE,Cyt,2015-09-17,637.789978,650.900024,635.02002,642.900024,2274700,642.900024
DOLE,Cyt,2015-09-16,635.469971,637.950012,632.320007,635.97998,1286500,635.97998
DOLE,Cyt,2015-09-15,626.700012,638.700012,623.780029,635.140015,2084400,635.140015
DOLE,Cyt,2015-09-14,625.700012,625.859985,619.429993,623.23999,1702300,623.23999
DOLE,Cyt,2015-09-11,619.75,625.780029,617.419983,625.77002,1373500,625.77002
DOLE,Cyt,2015-09-10,613.099976,624.159973,611.429993,621.349976,1905300,621.349976
DOLE,Cyt,2015-09-09,621.219971,626.52002,609.599976,612.719971,1702100,612.719971
DOLE,Cyt,2015-09-08,612.48999,616.309998,604.119995,614.659973,2279500,614.659973
DOLE,Cyt,2015-09-04,600,603.469971,595.25,600.700012,2089000,600.700012
DOLE,Cyt,2015-09-03,617,619.710022,602.820984,606.25,1759600,606.25
DOLE,Cyt,2015-09-02,605.590027,614.340027,599.710022,614.340027,2575600,614.340027
DOLE,Cjt,2015-09-01,602.359985,612.859985,594.099976,597.789978,3702100,597.789978
DOLE,Cjt,2015-08-31,627.539978,635.799988,617.679993,618.25,2176700,618.25
DOLE,Cjt,2015-08-28,632.820007,636.880005,624.559998,630.380005,1978700,630.380005
DOLE,Cjt,2015-08-27,639.400024,643.590027,622,637.609985,3491300,637.609985
DOLE,Cjt,2015-08-26,610.349976,631.710022,599.049988,628.619995,4235900,628.619995
DOLE,Cjt,2015-08-25,614.909973,617.450012,581.109985,582.059998,3538000,582.059998
DOLE,Cjt,2015-08-24,573,599.330017,565.049988,589.609985,5770300,589.609985
DOLE,Cjt,2015-08-21,639.780029,640.049988,612.330017,612.47998,4265200,612.47998
DOLE,Cjt,2015-08-20,655.460022,662.98999,642.900024,646.830017,2855300,646.830017
DOLE,Cjt,2015-08-19,656.599976,667,654.190002,660.900024,2131600,660.900024
DOLE,Cjt,2015-08-18,661.900024,664,653.460022,656.130005,1456100,656.130005
DOLE,Cjt,2015-08-17,656.799988,661.380005,651.23999,660.869995,1051700,660.869995
DOLE,Cjt,2015-08-14,655.01001,659.85498,652.659973,657.119995,1072100,657.119995
CATO,Cjt,2015-08-13,659.322021,664.5,651.661011,656.450012,1810700,656.450012
CATO,Cjt,2015-08-12,663.080017,665,652.289978,659.559998,2936700,659.559998
CATO,Cjt,2015-08-11,669.200012,674.900024,654.27002,660.780029,5029200,660.780029
CATO,Cjt,2015-08-10,639.47998,643.440002,631.249023,633.72998,1809200,633.72998
CATO,Cyt,2015-08-07,640.22998,642.679993,629.710022,635.299988,1403900,635.299988
CATO,Cyt,2015-08-06,645,645.379028,632.25,642.679993,1572600,642.679993
CATO,Cyt,2015-08-05,634.330017,647.859985,633.159973,643.780029,2334300,643.780029
CATO,Cyt,2015-08-04,628.419983,634.809998,627.159973,629.25,1490900,629.25
CATO,Cyt,2015-08-03,625.340027,633.05603,625.340027,631.210022,1304500,631.210022
CATO,Cyt,2015-07-31,631.380005,632.909973,625.5,625.609985,1706100,625.609985
CATO,Cyt,2015-07-30,630,635.219971,622.049988,632.590027,1474200,632.590027
CATO,Cyt,2015-07-29,628.799988,633.359985,622.650024,631.929993,1575100,631.929993
CATO,Cyt,2015-07-28,632.830017,632.830017,623.309998,628,1727300,628
CATO,Cyt,2015-07-27,621,634.299988,620.5,627.26001,2675400,627.26001
CATO,Cyt,2015-07-24,647,648.169983,622.52002,623.559998,3625700,623.559998
